"","method","sites","weight","minCR","MAE"
"1","glmnet","Allsites","CR",2,3.93548906181217
"2","glmnet","Allsites","CR",4,4.58354116367816
"3","glmnet","Allsites","inv.var",2,4.07636789492326
"4","glmnet","Allsites","inv.var",4,3.87946946878368
"5","glmnet","Allsites","none",2,3.82488152276175
"6","glmnet","Allsites","none",4,3.70945050904929
"7","glmnet","Allsites","sn.wt",2,4.13879381289301
"8","glmnet","Allsites","sn.wt",4,3.91763261717943
"9","rf","Allsites","CR",2,3.77867205988767
"10","rf","Allsites","CR",4,4.0249329196678
"11","rf","Allsites","inv.var",2,3.51495376282696
"12","rf","Allsites","inv.var",4,4.26257644056976
"13","rf","Allsites","none",2,3.70893327953782
"14","rf","Allsites","none",4,4.21289704106532
"15","rf","Allsites","sn.wt",2,3.6600531967912
"16","rf","Allsites","sn.wt",4,3.90643021531748
"17","svm","Allsites","none",2,3.93100835140673
"18","svm","Allsites","none",4,3.01590791546159
