"","method","sites","weight","minCR","resample","MAE","lci","uci","Corr","mean.resid","MAE_0","MAE_10","MAE_25","mean.resid_0","mean.resid_10","mean.resid_25"
"1","gam","RFsites","CR","minCR2","best",3.59,2.03,8.9,0.67,-0.6,3.36,3.48,9.94,3.28,0.66,-8.66
"2","gam","RFsites","CR","minCR4","best",2.99,1.29,6.42,0.7,0.84,2.56,1.96,10.97,2.15,0.55,-0.34
"3","gam","RFsites","CR","minCR4","ranAgeMeth",2.43,0.78,5.55,0.79,-1.75,1.63,1.87,9.24,0.97,-0.15,-8.94
"4","gam","RFsites","ci.wt","minCR2","best",3.69,2.03,7.09,0.73,-0.93,3.8,3.12,6.07,2.83,0.29,-8.73
"5","gam","RFsites","ci.wt","minCR3","best",3.59,1.85,8.06,0.74,-0.99,2.34,3.59,8.33,2.06,0.65,-8.73
"6","gam","RFsites","ci.wt","minCR4","best",3.14,1.56,6.98,0.77,0.46,2.49,2.16,10.62,1.75,1.17,-2.83
"7","gam","RFsites","ci.wt","minCR4","ranAgeMeth",2.8,1.02,6.16,0.79,-1.07,1.34,2.33,8.37,1.65,0.57,-8.37
"8","gam","RFsites","none","minCR2","best",3.29,2.04,6.55,0.75,-1.1,3.3,2.71,5.62,2.84,-0.14,-8.56
"9","gam","RFsites","none","minCR2","ranAge",3.62,1.93,7.13,0.78,0.15,2.7,3.36,7.31,2.41,1.35,-5.56
"10","gam","RFsites","none","minCR2","ranAgeMeth",2.65,1.46,6.67,0.78,0.1,2.02,2.23,8.08,2.63,1.74,-6.96
"11","gam","RFsites","none","minCR3","best",4.01,2,8.09,0.74,-0.74,2.58,3.1,8.11,2.23,0.84,-8.21
"12","gam","RFsites","none","minCR3","ranAge",3.41,1.54,7.79,0.75,0,1.65,2.91,7.81,2.61,1.82,-7.54
"13","gam","RFsites","none","minCR3","ranAgeMeth",2.92,1.2,7.58,0.76,-0.04,1.88,2.8,8.28,2.54,1.82,-7.63
"14","gam","RFsites","none","minCR4","best",2.77,1.56,7.63,0.76,0.53,2.51,2.07,10.51,2.05,1.11,-2.79
"15","gam","RFsites","none","minCR4","ranAge",3.4,1.21,6.85,0.77,0.59,3.19,2.73,11.48,2.11,0.94,-2.24
"16","gam","RFsites","none","minCR4","ranAgeMeth",2.57,0.99,5.88,0.78,-1.21,1.01,1.76,9.19,1.5,0.44,-8.52
"17","gam","glmnet.5","CR","minCR2","best",4.02,1.77,7.67,0.72,-1.48,1.75,3.21,11.21,2.33,0.52,-11.02
"18","gam","glmnet.5","CR","minCR3","best",4.69,1.91,8.3,0.68,-1.36,1.76,4.39,10.93,2.37,0.77,-11.09
"19","gam","glmnet.5","CR","minCR4","best",3.32,1.26,7.56,0.63,-0.79,1.01,2.5,10.16,2.69,1.6,-10.78
"20","gam","glmnet.5","ci.wt","minCR2","best",3.43,1.38,7.15,0.75,-1.44,1.77,2.7,10.63,2.18,0.42,-10.44
"21","gam","glmnet.5","ci.wt","minCR3","best",3.94,1.55,7.76,0.72,-1.04,1.77,3.29,10.3,2.45,1.03,-10.33
"22","gam","glmnet.5","ci.wt","minCR4","best",4.61,1.75,9.08,0.59,-0.84,1.98,3.65,12.22,2.91,1.95,-12.05
"23","gam","glmnet.5","none","minCR2","best",3.22,1.42,7.25,0.76,-1.5,1.81,2.75,10.6,2.14,0.31,-10.42
"24","gam","glmnet.5","none","minCR3","best",3.77,1.47,7.6,0.72,-0.98,1.79,3.6,10.14,2.34,1.08,-9.98
"25","gam","glmnet.5","none","minCR4","best",4.53,1.76,8.61,0.59,-0.52,2.49,3.62,11.77,2.89,2.47,-11.7
"26","glmnet","Allsites","CR","minCR2","best",3.92,1.53,8.48,0.68,-2.3,1.9,3.22,10.93,3.32,-1.18,-12.43
"27","glmnet","Allsites","CR","minCR3","best",4.31,1.77,8.16,0.69,-1.86,1.6,3.94,10.43,3.17,-0.6,-11.47
