,type,age.confidence,mean.dev,median.dev,mode.dev,mean.se,median.se,mode.se,cor.age,pct.gt.best
1,best,2,13.62382819,8.112212921,6.302078188,381.6466355,65.81266305,43.24469805,0.177516176,0.9
2,best,3,8.304867427,6.589130316,3.337372873,117.7854778,43.42114938,21.27969037,0.526203795,0.7
3,best,4,4.745573902,4.910691809,2.634385336,38.16733467,24.1215434,11.66273191,0.819925845,0.46875
4,best,5,5.196612265,2.733201826,0.987976217,55.9734986,9.075169836,1.204989817,0.602651728,0.722222222
5,best,All,7.008685449,5.864824037,2.889690157,106.4323153,34.42008073,16.30538146,0.547545837,0.644444444
6,ran.age,2,15.4378387,11.35170462,5.846188517,425.1565045,128.8612043,64.40137901,0.173508734,0.8808
7,ran.age,3,11.17022787,8.921989412,4.46034401,213.0102306,79.60189698,39.78864094,0.391107029,0.636533333
8,ran.age,4,7.076359895,5.962899743,2.993109984,78.92014852,35.55617334,17.77790235,0.712948012,0.5224375
9,ran.age,5,6.560238682,4.644792453,2.324247937,78.92568906,21.5740972,10.7846479,0.56414328,0.562777778
10,ran.age,All,9.266811512,6.88920388,3.446910094,162.0886569,47.46113013,23.729243,0.505560552,0.608355556
11,ran.age.meth,2,13.68100134,10.10488439,5.094130108,337.5918214,102.1086887,51.05190835,0.175838733,0.7979
12,ran.age.meth,3,10.16301757,7.87534234,3.938857542,177.965029,62.02101698,31.01013261,0.444232108,0.592733333
13,ran.age.meth,4,8.26935764,6.697199969,3.381289371,113.4520083,44.85248743,22.42604498,0.5888586,0.5129375
14,ran.age.meth,5,8.019328355,5.776208396,3.040815569,110.51358,33.36458393,16.67825103,0.494495165,0.552388889
15,ran.age.meth,All,9.451865505,7.142383971,3.587564943,159.2730866,51.01364879,25.50676438,0.476407516,0.579088889
