,type,age.confidence,mean.dev,median.dev,mode.dev,mean.se,median.se,mode.se,cor.age,pct.gt.best
1,best,2,4.817658,2.2912525,1.779464167,44.52084123,5.274593632,2.525975758,0.661827427,0.9
2,best,3,4.657489556,3.086456667,1.548533333,37.15985741,9.579344237,4.107315615,0.807050385,0.633333333
3,best,4,5.198308492,4.526516484,2.326471402,43.24186424,20.57312027,9.062925361,0.823459899,0.375
4,best,5,4.373705301,2.745248594,1.943071485,34.28573932,7.537405011,4.368912632,0.803494332,0.833333333
5,best,All,4.810820376,3.463949753,1.96931861,39.5654122,11.99899115,6.005779694,0.759174749,0.611111111
6,ran.age,2,10.30251649,6.762834138,3.383648459,201.0111169,45.73592588,22.86420835,0.34319907,0.8991
7,ran.age,3,6.797701755,4.86406211,2.432932436,84.51798583,23.65910025,11.82861426,0.755289554,0.6722
8,ran.age,4,6.058455595,4.682558667,2.341248808,64.23089234,21.92635568,10.96274765,0.799055261,0.41903125
9,ran.age,5,5.033537222,3.551056361,2.211092851,47.23459781,12.61000145,6.303535686,0.765375821,0.878833333
10,ran.age,All,6.571449629,4.619438977,2.311965518,82.79180066,21.33921648,10.66906826,0.681732828,0.648722222
11,ran.age.meth,2,10.47981358,6.903672844,3.453156707,207.7022498,47.66069875,23.82956285,0.310150752,0.8625
12,ran.age.meth,3,6.979412426,5.048594574,2.526376461,88.59740961,25.48830718,12.74378065,0.740589986,0.690466667
13,ran.age.meth,4,6.197787899,4.681751774,2.346973561,67.41303221,21.91879984,10.95751339,0.785005195,0.43496875
14,ran.age.meth,5,5.277195246,3.721275095,2.165486852,51.53474319,13.84788834,6.92363801,0.754720779,0.880944444
15,ran.age.meth,All,6.749991509,4.742991993,2.372417784,86.88652439,22.49597305,11.24788281,0.660545788,0.656833333
