,type,age.confidence,mean.dev,median.dev,mode.dev,mean.se,median.se,mode.se,cor.age,pct.gt.best
1,best,2,4.935504,3.04885,1.326715,44.12883261,9.961510973,2.581066072,0.702591167,0.9
2,best,3,4.683918056,3.370119167,2.370758333,37.14549076,11.35770478,5.76753917,0.803039998,0.633333333
3,best,4,5.253769729,4.746659859,3.039843235,44.48381518,22.53365659,11.0160784,0.814097776,0.375
4,best,5,4.397984944,2.573229932,2.004352679,35.9458004,6.621699173,4.356791951,0.79722629,0.833333333
5,best,All,4.857299355,3.7862325,2.219710691,40.29066158,14.33936354,6.937147489,0.754206892,0.611111111
6,ran.age,2,10.30251649,6.762834138,3.383648459,201.0111169,45.73592588,22.86420835,0.34319907,0.8991
7,ran.age,3,6.797701755,4.86406211,2.432932436,84.51798583,23.65910025,11.82861426,0.755289554,0.6722
8,ran.age,4,6.058455595,4.682558667,2.341248808,64.23089234,21.92635568,10.96274765,0.799055261,0.41903125
9,ran.age,5,5.033537222,3.551056361,2.211092851,47.23459781,12.61000145,6.303535686,0.765375821,0.878833333
10,ran.age,All,6.571449629,4.619438977,2.311965518,82.79180066,21.33921648,10.66906826,0.681732828,0.648722222
11,ran.age.meth,2,10.47981358,6.903672844,3.453156707,207.7022498,47.66069875,23.82956285,0.310150752,0.8625
12,ran.age.meth,3,6.979412426,5.048594574,2.526376461,88.59740961,25.48830718,12.74378065,0.740589986,0.690466667
13,ran.age.meth,4,6.197787899,4.681751774,2.346973561,67.41303221,21.91879984,10.95751339,0.785005195,0.43496875
14,ran.age.meth,5,5.277195246,3.721275095,2.165486852,51.53474319,13.84788834,6.92363801,0.754720779,0.880944444
15,ran.age.meth,All,6.749991509,4.742991993,2.372417784,86.88652439,22.49597305,11.24788281,0.660545788,0.656833333
