,type,age.confidence,mean.dev,median.dev,mode.dev,mean.se,median.se,mode.se,cor.age,pct.gt.best
1,best,2,8.137602336,5.744934707,4.080530812,102.3156509,33.57497923,17.47692921,0.434767999,0.9
2,best,3,6.835254857,6.415585325,4.997153966,68.7320189,41.1644037,20.14608112,0.589418984,0.666666667
3,best,4,4.046357663,3.490179101,2.488478322,23.48762267,12.18735648,7.479451273,0.898193812,0.4375
4,best,5,3.817474205,2.453539845,1.713636108,29.16311651,6.045766813,2.642215917,0.76471062,0.555555556
5,best,All,5.384796111,4.073786269,2.580451195,48.46285665,16.59574754,8.283821031,0.70891237,0.588888889
6,ran.age,2,11.3978515,8.356482967,4.232078592,230.3123306,69.83080763,34.91367622,0.201725458,0.8965
7,ran.age,3,8.686495663,6.737412072,3.421306481,126.0873296,45.39272147,22.69507931,0.527168667,0.655666667
8,ran.age,4,5.335575516,4.584112699,3.178580764,43.76092388,21.01408925,10.50653034,0.846482831,0.47365625
9,ran.age,5,4.540398562,3.162468393,1.583963817,39.09190671,10.00120634,5.000473424,0.737763545,0.666333333
10,ran.age,All,6.967099727,5.148731288,2.575266408,90.99718978,26.50943388,13.25459867,0.637192023,0.619844444
11,ran.age.meth,2,11.66518144,8.511699113,4.260906407,242.4790197,72.44902185,36.22254463,0.18218096,0.8372
12,ran.age.meth,3,8.404341635,6.50450642,3.254716484,120.8243937,42.30860378,21.15396965,0.565437032,0.6142
13,ran.age.meth,4,5.749687282,4.728294907,2.364447077,53.72904207,22.35677273,11.1783252,0.807007159,0.483875
14,ran.age.meth,5,5.303644183,3.828423985,1.914185866,51.22250739,14.65683029,7.327340109,0.689850253,0.615722222
15,ran.age.meth,All,7.202640575,5.329238056,2.666527996,96.56507209,28.40077826,14.20001686,0.618186308,0.592944444
