,type,age.confidence,mean.dev,median.dev,mode.dev,mean.se,median.se,mode.se,cor.age,pct.gt.best
1,best,2,6.255480867,6.369011641,8.042544895,43.75911429,40.64562966,23.65177987,0.772326116,0.9
2,best,3,5.89816535,4.711067136,4.428428583,53.32489173,22.26472781,9.883747172,0.691145371,0.566666667
3,best,4,4.610316305,3.085111776,1.572483117,36.78736149,9.567571588,4.136262275,0.848811331,0.375
4,best,5,4.223289311,3.915786022,3.642523976,22.96606258,15.34047216,14.2009391,0.878359361,0.611111111
5,best,All,5.144989984,4.41133766,2.226820952,40.31025099,19.46106081,9.583146864,0.752935891,0.544444444
6,ran.age,2,11.3978515,8.356482967,4.232078592,230.3123306,69.83080763,34.91367622,0.201725458,0.8965
7,ran.age,3,8.686495663,6.737412072,3.421306481,126.0873296,45.39272147,22.69507931,0.527168667,0.655666667
8,ran.age,4,5.335575516,4.584112699,3.178580764,43.76092388,21.01408925,10.50653034,0.846482831,0.47365625
9,ran.age,5,4.540398562,3.162468393,1.583963817,39.09190671,10.00120634,5.000473424,0.737763545,0.666333333
10,ran.age,All,6.967099727,5.148731288,2.575266408,90.99718978,26.50943388,13.25459867,0.637192023,0.619844444
11,ran.age.meth,2,11.66518144,8.511699113,4.260906407,242.4790197,72.44902185,36.22254463,0.18218096,0.8372
12,ran.age.meth,3,8.404341635,6.50450642,3.254716484,120.8243937,42.30860378,21.15396965,0.565437032,0.6142
13,ran.age.meth,4,5.749687282,4.728294907,2.364447077,53.72904207,22.35677273,11.1783252,0.807007159,0.483875
14,ran.age.meth,5,5.303644183,3.828423985,1.914185866,51.22250739,14.65683029,7.327340109,0.689850253,0.615722222
15,ran.age.meth,All,7.202640575,5.329238056,2.666527996,96.56507209,28.40077826,14.20001686,0.618186308,0.592944444
